Ano,IDAtracacao,CDMercadoria,Porto Atracação,Complexo Portuário,Tipo de Navegação da Atracação,Espera_Atracação,Espera_Operação,Operação,Espera_Desatracação,Natureza da Carga,VLPesoCargaBruta,t/h- Prancha Operacional,IDBerco,Sentido,STNaturezaCarga
2016,746594,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1996.15,798.46,PVH0403,Embarcados,Exclusivo
2016,765426,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.8333333333333333,0.0,Granel Sólido,1921.88,1048.298181818182,BRRO0130001,Embarcados,Exclusivo
2016,760526,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1925.48,770.192,PVH0403,Embarcados,Exclusivo
2016,756836,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1913.6,765.4399999999999,PVH0403,Embarcados,Exclusivo
2016,767458,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.3333333333333333,0.0,Granel Sólido,1933.79,1450.3425,BRRO0130001,Embarcados,Exclusivo
2016,785113,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,917.86,367.144,PVH0403,Embarcados,Exclusivo
2016,752192,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.25,0.0,Granel Sólido,1965.45,1572.3600000000001,BRRO0130001,Embarcados,Exclusivo
2016,763691,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1927.66,771.0640000000001,PVH0403,Embarcados,Exclusivo
2016,756028,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,2.0833333333333335,0.0,Granel Sólido,1949.27,935.6496,BRRO0130001,Embarcados,Exclusivo
2016,804482,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1543.58,617.432,PVH0403,Embarcados,Exclusivo
2016,763696,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1910.47,764.188,PVH0403,Embarcados,Exclusivo
2016,784413,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,1177.44,470.976,PVH0403,Embarcados,Exclusivo
2016,765990,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1916.09,766.4359999999999,PVH0403,Embarcados,Exclusivo
2016,796371,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,891.2,356.48,PVH0403,Embarcados,Exclusivo
2016,756851,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1897.14,758.856,PVH0403,Embarcados,Exclusivo
2016,749378,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1962.77,785.108,PVH0403,Embarcados,Exclusivo
2016,746387,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1966.81,786.7239999999999,PVH0403,Embarcados,Exclusivo
2016,754013,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1947.82,779.1279999999999,PVH0403,Embarcados,Exclusivo
2016,773496,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,1895.891,758.3564,PVH0403,Embarcados,Exclusivo
2016,760522,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1900.23,760.092,PVH0403,Embarcados,Exclusivo
2016,755288,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.4166666666666667,0.0,Granel Sólido,1986.02,1401.8964705882352,BRRO0130001,Embarcados,Exclusivo
2016,804452,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1793.9,717.5600000000001,PVH0403,Embarcados,Exclusivo
2016,767447,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.6666666666666667,0.0,Granel Sólido,1931.0,1158.6,BRRO0130001,Embarcados,Exclusivo
2016,760521,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1915.81,766.324,PVH0403,Embarcados,Exclusivo
2016,765486,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.5,0.0,Granel Sólido,1925.36,1283.5733333333333,BRRO0130001,Embarcados,Exclusivo
2016,784431,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,1173.32,469.328,PVH0403,Embarcados,Exclusivo
2016,772395,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.75,0.0,Granel Sólido,1913.56,1093.462857142857,BRRO0130001,Embarcados,Exclusivo
2016,752193,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.4166666666666667,0.0,Granel Sólido,1988.09,1403.3576470588234,BRRO0130001,Embarcados,Exclusivo
2016,763733,1201,Porto Velho,Porto Velho,Interior,0.75,0.25,2.5,0.25,Granel Sólido,1927.95,771.1800000000001,PVH0403,Embarcados,Exclusivo
2016,759598,1201,TERFRON Itaituba,Itaituba,Interior,552.2833333333333,0.21666666666666667,3.0833333333333335,0.03333333333333333,Granel Sólido,1842.315,597.5075675675675,BRPA038TF02,Embarcados,Exclusivo
2016,760224,1201,TERFRON Itaituba,Itaituba,Interior,58.233333333333334,0.18333333333333332,2.033333333333333,0.03333333333333333,Granel Sólido,1847.591,908.6513114754098,BRPA038TF02,Embarcados,Exclusivo
2016,772419,1201,TERFRON Itaituba,Itaituba,Interior,54.3,0.15,3.1,0.1,Granel Sólido,1857.476,599.185806451613,BRPA038TF02,Embarcados,Exclusivo
2016,748426,1201,TERFRON Itaituba,Itaituba,Interior,107.85,0.08333333333333333,2.6,0.016666666666666666,Granel Sólido,1999.512,769.0430769230769,BRPA038TF02,Embarcados,Exclusivo
2016,772421,1201,TERFRON Itaituba,Itaituba,Interior,61.15,0.25,2.5,0.13333333333333333,Granel Sólido,1984.942,793.9768,BRPA038TF02,Embarcados,Exclusivo
2016,772420,1201,TERFRON Itaituba,Itaituba,Interior,58.1,0.13333333333333333,2.2333333333333334,0.13333333333333333,Granel Sólido,1844.92,826.0835820895522,BRPA038TF02,Embarcados,Exclusivo
2016,760100,1201,TERFRON Itaituba,Itaituba,Interior,49.666666666666664,0.21666666666666667,4.133333333333334,1.1166666666666667,Granel Sólido,1968.113,476.1563709677419,BRPA038TF02,Embarcados,Exclusivo
2016,760270,1201,TERFRON Itaituba,Itaituba,Interior,75.81666666666666,0.11666666666666667,2.8666666666666667,0.1,Granel Sólido,2011.161,701.5677906976745,BRPA038TF02,Embarcados,Exclusivo
2016,772418,1201,TERFRON Itaituba,Itaituba,Interior,50.53333333333333,0.23333333333333334,3.05,0.13333333333333333,Granel Sólido,2005.952,657.6891803278689,BRPA038TF02,Embarcados,Exclusivo
2016,772430,1201,TERFRON Itaituba,Itaituba,Interior,98.9,0.0,3.316666666666667,0.13333333333333333,Granel Sólido,1998.794,602.6514572864321,BRPA038TF02,Embarcados,Exclusivo
2016,760223,1201,TERFRON Itaituba,Itaituba,Interior,114.98333333333333,0.18333333333333332,2.45,0.08333333333333333,Granel Sólido,1698.696,693.3453061224488,BRPA038TF02,Embarcados,Exclusivo
2016,760380,1201,TERFRON Itaituba,Itaituba,Interior,47.5,0.1,2.4,0.11666666666666667,Granel Sólido,2002.773,834.48875,BRPA038TF02,Embarcados,Exclusivo
2016,760236,1201,TERFRON Itaituba,Itaituba,Interior,68.56666666666666,0.25,3.066666666666667,0.016666666666666666,Granel Sólido,1850.357,603.3772826086956,BRPA038TF02,Embarcados,Exclusivo
