Ano,IDAtracacao,CDMercadoria,Porto Atracação,Complexo Portuário,Tipo de Navegação da Atracação,Espera_Atracação,Espera_Operação,Operação,Espera_Desatracação,Natureza da Carga,VLPesoCargaBruta,t/h- Prancha Operacional,IDBerco,Sentido,STNaturezaCarga
2022,1269422,1201,Porto Velho,Porto Velho,Interior,0.3333333333333333,0.16666666666666666,2.5,0.25,Granel Sólido,2430.141,972.0564,PVH0403,Embarcados,Exclusivo
2022,1269419,1201,Porto Velho,Porto Velho,Interior,0.3333333333333333,0.16666666666666666,2.5,0.25,Granel Sólido,2579.634,1031.8536,PVH0403,Embarcados,Exclusivo
2022,1269412,1201,Porto Velho,Porto Velho,Interior,0.3333333333333333,0.16666666666666666,2.5,0.25,Granel Sólido,2392.977,957.1908,PVH0403,Embarcados,Exclusivo
2022,1269417,1201,Porto Velho,Porto Velho,Interior,0.3333333333333333,0.16666666666666666,2.5,0.25,Granel Sólido,2400.833,960.3332,PVH0403,Embarcados,Exclusivo
2022,1269414,1201,Porto Velho,Porto Velho,Interior,0.3333333333333333,0.16666666666666666,2.5,0.25,Granel Sólido,2467.977,987.1908,PVH0403,Embarcados,Exclusivo
2022,1269418,1201,Porto Velho,Porto Velho,Interior,0.3333333333333333,0.16666666666666666,2.5,0.25,Granel Sólido,2460.847,984.3388000000001,PVH0403,Embarcados,Exclusivo
2022,1269420,1201,Porto Velho,Porto Velho,Interior,0.3333333333333333,0.16666666666666666,2.5,0.25,Granel Sólido,2385.753,954.3012000000001,PVH0403,Embarcados,Exclusivo
2022,1269421,1201,Porto Velho,Porto Velho,Interior,0.3333333333333333,0.16666666666666666,2.5,0.25,Granel Sólido,2504.861,1001.9444,PVH0403,Embarcados,Exclusivo
2022,1254780,1201,ETC Miritituba,Itaituba,Interior,61.61666666666667,0.35,4.8,0.16666666666666666,Granel Sólido,2087.338,434.8620833333334,BRPA038TF02,Embarcados,Exclusivo
2022,1254775,1201,ETC Miritituba,Itaituba,Interior,42.43333333333333,0.06666666666666667,5.833333333333333,0.26666666666666666,Granel Sólido,2020.72,346.40914285714285,BRPA038TF02,Embarcados,Exclusivo
2022,1227346,1201,ETC Miritituba,Itaituba,Interior,49.46666666666667,4.116666666666666,1.6833333333333333,1.4833333333333334,Granel Sólido,1961.862,1165.4625742574258,BRPA038TF02,Embarcados,Exclusivo
2022,1227350,1201,ETC Miritituba,Itaituba,Interior,59.7,0.08333333333333333,1.8833333333333333,0.45,Granel Sólido,2113.578,1122.2538053097346,BRPA038TF02,Embarcados,Exclusivo
2022,1227343,1201,ETC Miritituba,Itaituba,Interior,39.81666666666667,0.85,3.0166666666666666,0.2833333333333333,Granel Sólido,1974.002,654.3653038674033,BRPA038TF02,Embarcados,Exclusivo
2022,1227351,1201,ETC Miritituba,Itaituba,Interior,63.083333333333336,0.08333333333333333,3.566666666666667,0.21666666666666667,Granel Sólido,2108.162,591.0734579439252,BRPA038TF02,Embarcados,Exclusivo
2022,1254769,1201,ETC Miritituba,Itaituba,Interior,10.1,0.21666666666666667,2.45,0.26666666666666666,Granel Sólido,2107.08,860.0326530612244,BRPA038TF02,Embarcados,Exclusivo
2022,1254768,1201,ETC Miritituba,Itaituba,Interior,19.35,1.7666666666666666,2.283333333333333,0.9833333333333333,Granel Sólido,2075.2,908.8467153284671,BRPA038TF02,Embarcados,Exclusivo
2022,1254771,1201,ETC Miritituba,Itaituba,Interior,13.8,0.03333333333333333,2.1166666666666667,0.26666666666666666,Granel Sólido,2091.592,988.1537007874016,BRPA038TF02,Embarcados,Exclusivo
2022,1254767,1201,ETC Miritituba,Itaituba,Interior,5.716666666666667,0.35,2.783333333333333,0.13333333333333333,Granel Sólido,1935.694,695.4589221556886,BRPA038TF02,Embarcados,Exclusivo
2022,1247393,1201,ETC Miritituba,Itaituba,Interior,54.56666666666667,0.11666666666666667,1.4,0.16666666666666666,Granel Sólido,1739.99,1242.8500000000001,BRPA038TF02,Embarcados,Exclusivo
2022,1246785,1201,ETC Miritituba,Itaituba,Interior,84.16666666666667,0.11666666666666667,1.4666666666666666,0.16666666666666666,Granel Sólido,1971.648,1344.3054545454545,BRPA038TF02,Embarcados,Exclusivo
2022,1247395,1201,ETC Miritituba,Itaituba,Interior,59.983333333333334,0.08333333333333333,1.5166666666666666,0.16666666666666666,Granel Sólido,1757.008,1158.4668131868132,BRPA038TF02,Embarcados,Exclusivo
2022,1255481,1201,ETC Miritituba,Itaituba,Interior,45.25,0.08333333333333333,5.9,0.016666666666666666,Granel Sólido,2092.21,354.61186440677966,BRPA038TF02,Embarcados,Exclusivo
2022,1267507,1201,ETC Miritituba,Itaituba,Interior,17.916666666666668,0.08333333333333333,7.95,0.3,Granel Sólido,2036.516,256.16553459119496,BRPA038TF02,Embarcados,Exclusivo
2022,1247388,1201,ETC Miritituba,Itaituba,Interior,43.833333333333336,0.23333333333333334,1.5666666666666667,0.13333333333333333,Granel Sólido,1958.542,1250.1331914893617,BRPA038TF02,Embarcados,Exclusivo
2022,1247385,1201,ETC Miritituba,Itaituba,Interior,41.28333333333333,0.06666666666666667,1.4833333333333334,0.15,Granel Sólido,1947.814,1313.1330337078653,BRPA038TF02,Embarcados,Exclusivo
2022,1254720,1201,ETC Miritituba,Itaituba,Interior,175.08333333333334,1.15,2.183333333333333,0.48333333333333334,Granel Sólido,2178.696,997.8760305343512,BRPA038TF02,Embarcados,Exclusivo
2022,1251085,1201,ETC Miritituba,Itaituba,Interior,28.6,0.08333333333333333,5.083333333333333,0.16666666666666666,Granel Sólido,2044.424,402.1817704918033,BRPA038TF02,Embarcados,Exclusivo
2022,1247382,1201,ETC Miritituba,Itaituba,Interior,38.4,0.08333333333333333,1.3833333333333333,0.13333333333333333,Granel Sólido,1880.906,1359.6910843373494,BRPA038TF02,Embarcados,Exclusivo
2022,1255509,1201,ETC Miritituba,Itaituba,Interior,101.41666666666667,0.08333333333333333,3.4166666666666665,0.55,Granel Sólido,2118.32,619.9960975609757,BRPA038TF02,Embarcados,Exclusivo
2022,1255519,1201,ETC Miritituba,Itaituba,Interior,108.51666666666667,0.08333333333333333,1.5666666666666667,54.0,Granel Sólido,2099.59,1340.1638297872341,BRPA038TF02,Embarcados,Exclusivo
2022,1255556,1201,ETC Miritituba,Itaituba,Interior,164.98333333333332,0.08333333333333333,6.266666666666667,0.06666666666666667,Granel Sólido,1781.65,284.3058510638298,BRPA038TF02,Embarcados,Exclusivo
2022,1247392,1201,ETC Miritituba,Itaituba,Interior,51.88333333333333,0.1,1.4333333333333333,0.21666666666666667,Granel Sólido,1626.93,1135.0674418604651,BRPA038TF02,Embarcados,Exclusivo
2022,1247390,1201,ETC Miritituba,Itaituba,Interior,49.1,0.08333333333333333,1.5833333333333333,0.16666666666666666,Granel Sólido,1890.556,1194.0353684210527,BRPA038TF02,Embarcados,Exclusivo
2022,1256887,1201,Itahum Export,Não Classificado,Longo Curso,0.5,0.45,96.61666666666666,0.9333333333333333,Granel Sólido,30388.824,314.5298326720718,BRMS0115001,Embarcados,Exclusivo
2022,1254800,1201,ETC Miritituba,Itaituba,Interior,61.21666666666667,0.05,1.65,0.16666666666666666,Granel Sólido,1823.496,1105.149090909091,BRPA038TF02,Embarcados,Exclusivo
2022,1257273,1201,ETC Miritituba,Itaituba,Interior,87.08333333333333,0.08333333333333333,5.383333333333334,0.3,Granel Sólido,1828.534,339.6657585139319,BRPA038TF02,Embarcados,Exclusivo
2022,1257184,1201,ETC Miritituba,Itaituba,Interior,19.6,0.08333333333333333,1.7833333333333334,0.36666666666666664,Granel Sólido,1843.854,1033.9368224299064,BRPA038TF02,Embarcados,Exclusivo
2022,1257183,1201,ETC Miritituba,Itaituba,Interior,14.3,0.7,3.5,0.26666666666666666,Granel Sólido,1901.88,543.3942857142857,BRPA038TF02,Embarcados,Exclusivo
2022,1257262,1201,ETC Miritituba,Itaituba,Interior,67.6,0.08333333333333333,3.7,0.16666666666666666,Granel Sólido,2064.73,558.0351351351351,BRPA038TF02,Embarcados,Exclusivo
2022,1246956,1201,ETC Miritituba,Itaituba,Interior,11.516666666666667,0.6333333333333333,1.4333333333333333,0.21666666666666667,Granel Sólido,1627.514,1135.4748837209302,BRPA038TF02,Embarcados,Exclusivo
2022,1247021,1201,ETC Miritituba,Itaituba,Interior,29.133333333333333,0.08333333333333333,1.3,0.23333333333333334,Granel Sólido,1814.826,1396.02,BRPA038TF02,Embarcados,Exclusivo
2022,1247004,1201,ETC Miritituba,Itaituba,Interior,18.083333333333332,0.15,1.6333333333333333,0.016666666666666666,Granel Sólido,1995.318,1221.6232653061224,BRPA038TF02,Embarcados,Exclusivo
2022,1257200,1201,ETC Miritituba,Itaituba,Interior,26.65,0.08333333333333333,1.9166666666666667,0.21666666666666667,Granel Sólido,2151.28,1122.4069565217392,BRPA038TF02,Embarcados,Exclusivo
2022,1257254,1201,ETC Miritituba,Itaituba,Interior,45.78333333333333,0.08333333333333333,2.1333333333333333,0.25,Granel Sólido,1875.654,879.2128125,BRPA038TF02,Embarcados,Exclusivo
2022,1257256,1201,ETC Miritituba,Itaituba,Interior,49.11666666666667,0.08333333333333333,3.966666666666667,0.23333333333333334,Granel Sólido,2111.838,532.3961344537815,BRPA038TF02,Embarcados,Exclusivo
2022,1227342,1201,ETC Miritituba,Itaituba,Interior,36.8,0.15,1.9833333333333334,0.16666666666666666,Granel Sólido,2003.594,1010.2154621848739,BRPA038TF02,Embarcados,Exclusivo
2022,1227340,1201,ETC Miritituba,Itaituba,Interior,30.083333333333332,0.08333333333333333,1.7333333333333334,3.3666666666666667,Granel Sólido,1952.926,1126.6880769230768,BRPA038TF02,Embarcados,Exclusivo
2022,1254795,1201,ETC Miritituba,Itaituba,Interior,57.2,0.08333333333333333,1.9,0.23333333333333334,Granel Sólido,2093.718,1101.9568421052631,BRPA038TF02,Embarcados,Exclusivo
2022,1254794,1201,ETC Miritituba,Itaituba,Interior,116.93333333333334,0.08333333333333333,1.65,0.23333333333333334,Granel Sólido,1894.084,1147.929696969697,BRPA038TF02,Embarcados,Exclusivo
2022,1227344,1201,ETC Miritituba,Itaituba,Interior,45.083333333333336,0.08333333333333333,1.8333333333333333,0.16666666666666666,Granel Sólido,2109.336,1150.546909090909,BRPA038TF02,Embarcados,Exclusivo
2022,1248956,1201,Itahum Export,Não Classificado,Longo Curso,7.0,0.95,85.6,0.45,Granel Sólido,24123.016,281.8109345794393,BRMS0115001,Embarcados,Exclusivo
2022,1227339,1201,ETC Miritituba,Itaituba,Interior,26.6,0.08333333333333333,1.9666666666666666,0.5333333333333333,Granel Sólido,2146.89,1091.6389830508474,BRPA038TF02,Embarcados,Exclusivo
2022,1254815,1201,ETC Miritituba,Itaituba,Interior,109.45,0.1,4.666666666666667,0.13333333333333333,Granel Sólido,2059.112,441.2382857142857,BRPA038TF02,Embarcados,Exclusivo
2022,1254801,1201,ETC Miritituba,Itaituba,Interior,126.86666666666666,0.2833333333333333,2.9166666666666665,0.2,Granel Sólido,1844.134,632.2745142857143,BRPA038TF02,Embarcados,Exclusivo
2022,1254814,1201,ETC Miritituba,Itaituba,Interior,97.55,0.08333333333333333,10.5,0.3,Granel Sólido,2108.892,200.84685714285712,BRPA038TF02,Embarcados,Exclusivo
2022,1224488,1201,ETC Miritituba,Itaituba,Interior,136.15,0.08333333333333333,2.033333333333333,0.23333333333333334,Granel Sólido,2066.044,1016.0872131147541,BRPA038TF02,Embarcados,Exclusivo
2022,1247394,1201,ETC Miritituba,Itaituba,Interior,57.0,0.08333333333333333,2.0,0.16666666666666666,Granel Sólido,1940.646,970.323,BRPA038TF02,Embarcados,Exclusivo
2022,1249613,1201,ETC Miritituba,Itaituba,Interior,72.36666666666666,0.08333333333333333,13.8,0.6333333333333333,Granel Sólido,1863.22,135.0159420289855,BRPA038TF02,Embarcados,Exclusivo
2022,1249606,1201,ETC Miritituba,Itaituba,Interior,35.75,0.06666666666666667,1.7166666666666666,0.8166666666666667,Granel Sólido,1824.088,1062.5755339805826,BRPA038TF02,Embarcados,Exclusivo
2022,1249623,1201,ETC Miritituba,Itaituba,Interior,134.08333333333334,0.08333333333333333,6.083333333333333,0.6,Granel Sólido,2129.602,350.0715616438356,BRPA038TF02,Embarcados,Exclusivo
2022,1249614,1201,ETC Miritituba,Itaituba,Interior,87.55,0.18333333333333332,3.8,0.16666666666666666,Granel Sólido,2123.39,558.7868421052632,BRPA038TF02,Embarcados,Exclusivo
2022,1249610,1201,ETC Miritituba,Itaituba,Interior,52.233333333333334,0.08333333333333333,1.8,2.0,Granel Sólido,1868.95,1038.3055555555557,BRPA038TF02,Embarcados,Exclusivo
2022,1250240,1201,ETC Miritituba,Itaituba,Interior,97.33333333333333,0.08333333333333333,2.6166666666666667,0.16666666666666666,Granel Sólido,1862.988,711.9699363057325,BRPA038TF02,Embarcados,Exclusivo
2022,1249620,1201,ETC Miritituba,Itaituba,Interior,114.56666666666666,0.25,4.933333333333334,0.13333333333333333,Granel Sólido,2141.118,434.0104054054054,BRPA038TF02,Embarcados,Exclusivo
2022,1239359,1201,ETC Miritituba,Itaituba,Interior,58.55,0.1,1.2666666666666666,0.25,Granel Sólido,1926.528,1520.943157894737,BRPA038TF02,Embarcados,Exclusivo
2022,1249622,1201,ETC Miritituba,Itaituba,Interior,127.76666666666667,0.7333333333333333,4.45,0.23333333333333334,Granel Sólido,2065.304,464.1132584269663,BRPA038TF02,Embarcados,Exclusivo
2022,1250232,1201,ETC Miritituba,Itaituba,Interior,55.13333333333333,0.08333333333333333,4.566666666666666,0.18333333333333332,Granel Sólido,1834.776,401.7757664233577,BRPA038TF02,Embarcados,Exclusivo
2022,1229122,1201,ETC Miritituba,Itaituba,Interior,146.51666666666668,0.08333333333333333,1.6,0.16666666666666666,Granel Sólido,2072.218,1295.1362499999998,BRPA038TF02,Embarcados,Exclusivo
2022,1250248,1201,ETC Miritituba,Itaituba,Interior,20.85,0.08333333333333333,6.816666666666666,0.15,Granel Sólido,1918.168,281.39383863080684,BRPA038TF02,Embarcados,Exclusivo
2022,1238659,1201,ETC Miritituba,Itaituba,Interior,60.45,0.25,1.5,0.16666666666666666,Granel Sólido,1868.554,1245.7026666666668,BRPA038TF02,Embarcados,Exclusivo
2022,1229124,1201,ETC Miritituba,Itaituba,Interior,149.3,0.08333333333333333,1.6166666666666667,0.43333333333333335,Granel Sólido,1889.382,1168.6898969072165,BRPA038TF02,Embarcados,Exclusivo
2022,1238664,1201,ETC Miritituba,Itaituba,Interior,23.183333333333334,0.15,1.5833333333333333,0.2,Granel Sólido,1856.978,1172.8282105263158,BRPA038TF02,Embarcados,Exclusivo
2022,1250239,1201,ETC Miritituba,Itaituba,Interior,89.78333333333333,0.08333333333333333,6.533333333333333,0.16666666666666666,Granel Sólido,2039.822,312.2176530612245,BRPA038TF02,Embarcados,Exclusivo
2022,1250233,1201,ETC Miritituba,Itaituba,Interior,60.65,0.08333333333333333,3.3833333333333333,0.13333333333333333,Granel Sólido,1871.308,553.095960591133,BRPA038TF02,Embarcados,Exclusivo
2022,1239352,1201,ETC Miritituba,Itaituba,Interior,48.733333333333334,0.08333333333333333,1.7833333333333334,0.13333333333333333,Granel Sólido,1950.914,1093.9704672897196,BRPA038TF02,Embarcados,Exclusivo
2022,1250244,1201,ETC Miritituba,Itaituba,Interior,116.38333333333334,0.08333333333333333,2.2,0.3333333333333333,Granel Sólido,2084.47,947.4863636363634,BRPA038TF02,Embarcados,Exclusivo
2022,1250238,1201,ETC Miritituba,Itaituba,Interior,84.11666666666666,0.16666666666666666,4.45,0.5,Granel Sólido,2114.232,475.10831460674154,BRPA038TF02,Embarcados,Exclusivo
2022,1250235,1201,ETC Miritituba,Itaituba,Interior,71.58333333333333,0.08333333333333333,4.1,0.2,Granel Sólido,2035.818,496.5409756097561,BRPA038TF02,Embarcados,Exclusivo
2022,1250237,1201,ETC Miritituba,Itaituba,Interior,80.61666666666666,0.18333333333333332,2.433333333333333,0.13333333333333333,Granel Sólido,1892.304,777.6591780821918,BRPA038TF02,Embarcados,Exclusivo
2022,1250246,1201,ETC Miritituba,Itaituba,Interior,10.316666666666666,0.08333333333333333,3.65,0.16666666666666666,Granel Sólido,2094.108,573.7282191780822,BRPA038TF02,Embarcados,Exclusivo
2022,1259619,1201,ETC Miritituba,Itaituba,Interior,91.68333333333334,0.08333333333333333,7.266666666666667,0.23333333333333334,Granel Sólido,1885.162,259.4259633027523,BRPA038TF02,Embarcados,Exclusivo
2022,1249639,1201,ETC Miritituba,Itaituba,Interior,110.55,0.08333333333333333,10.75,0.1,Granel Sólido,2091.202,194.53041860465117,BRPA038TF02,Embarcados,Exclusivo
2022,1249629,1201,ETC Miritituba,Itaituba,Interior,36.5,0.08333333333333333,6.9,0.65,Granel Sólido,2143.658,310.67507246376806,BRPA038TF02,Embarcados,Exclusivo
2022,1249632,1201,ETC Miritituba,Itaituba,Interior,71.16666666666667,0.13333333333333333,3.15,0.7666666666666667,Granel Sólido,1855.526,589.0558730158731,BRPA038TF02,Embarcados,Exclusivo
