Ano,IDAtracacao,CDMercadoria,Porto Atracação,Complexo Portuário,Tipo de Navegação da Atracação,Espera_Atracação,Espera_Operação,Operação,Espera_Desatracação,Natureza da Carga,VLPesoCargaBruta,t/h- Prancha Operacional,IDBerco,Sentido,STNaturezaCarga
2018,910457,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,2014.65,805.86,PVH0403,Embarcados,Exclusivo
2018,913790,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Apoio Portuário,0.0,0.0,1.5,0.0,Granel Sólido,2048.1,1365.3999999999999,BRRO0130001,Embarcados,Exclusivo
2018,910348,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,2079.0,831.6,PVH0403,Embarcados,Exclusivo
2018,928023,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.5,0.0,Granel Sólido,1980.52,1320.3466666666666,BRRO0130001,Embarcados,Exclusivo
2018,924102,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.3333333333333333,0.0,Granel Sólido,2027.11,1520.3325,BRRO0130001,Embarcados,Exclusivo
2018,921754,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,2079.621,831.8484000000001,PVH0403,Embarcados,Exclusivo
2018,942353,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,1550.0,620.0,PVH0403,Embarcados,Exclusivo
2018,936718,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,2047.169,818.8676,PVH0403,Embarcados,Exclusivo
2018,903823,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,1971.4,788.5600000000001,PVH0403,Embarcados,Exclusivo
2018,936727,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,2047.169,818.8676,PVH0403,Embarcados,Exclusivo
2018,904118,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,2045.06,818.024,PVH0403,Embarcados,Exclusivo
2018,915803,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,2014.65,805.86,PVH0403,Embarcados,Exclusivo
2018,911192,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.3333333333333333,0.0,Granel Sólido,1839.52,1379.64,BRRO0130001,Embarcados,Exclusivo
2018,928228,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.3333333333333333,0.0,Granel Sólido,1767.8,1325.8500000000001,BRRO0130001,Embarcados,Exclusivo
2018,909078,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.4166666666666667,0.0,Granel Sólido,1835.0,1295.2941176470588,BRRO0130001,Embarcados,Exclusivo
2018,923633,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.25,0.0,Granel Sólido,1751.06,1400.848,BRRO0130001,Embarcados,Exclusivo
2018,906277,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.3333333333333333,0.0,Granel Sólido,1527.5,1145.625,BRRO0130001,Embarcados,Exclusivo
2018,922319,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,2.75,0.0,Granel Sólido,1777.0,646.1818181818181,BRRO0130001,Embarcados,Exclusivo
2018,904107,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,1911.86,764.7439999999999,PVH0403,Embarcados,Exclusivo
2018,949924,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,1178.093,471.23720000000003,PVH0403,Embarcados,Exclusivo
2018,904395,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.25,0.0,Granel Sólido,1931.0,1544.8,BRRO0130001,Embarcados,Exclusivo
2018,942231,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,1212.755,485.10200000000003,PVH0403,Embarcados,Exclusivo
2018,915709,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,1843.266,737.3064,PVH0403,Embarcados,Exclusivo
2018,937140,1201,Porto Velho,Porto Velho,Interior,0.25,0.25,2.5,0.25,Granel Sólido,1150.202,460.0808,PVH0403,Embarcados,Exclusivo
2018,909406,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,5.0,0.0,Granel Sólido,2050.64,410.128,BRRO0130001,Embarcados,Exclusivo
2018,923610,1201,Terminal de Expedição de Grãos Portochuelo,Porto Velho,Interior,0.0,0.0,1.4166666666666667,0.0,Granel Sólido,2022.26,1427.4776470588235,BRRO0130001,Embarcados,Exclusivo
